intent,pattern,response,
ask_character_relation,What is Luke Skywalker's relationship to Ben Solo in the Star Wars universe? ,"They share a unique bond, being described as 'twins of the Force' or 'two stars sharing the same orbit', signifying their deep connection despite their opposing sides in the war. ",
ask_character_darth_vader,Who is Darth Vader?,"He was the former Padawan of Obi-Wan Kenobi, the former Jedi master of Ahsoka Tano, the third and final Sith apprentice of Emperor Palpatine, the husband of Padmé Amidala, the father of Luke Skywalker and Leia Organa, and the grandfather of Kylo Ren.",
ask_character_obi_wan_kenobi,Who is Obi-Wan Kenobi?,"He is a legendary Jedi Master who helped train Luke Skywalker in the ways of the Force in the original trilogy. In the prequel trilogy, he was the apprentice of Jedi Master Qui-Gon Jinn, and later the master of Anakin Skywalker, who would tragically become one of his personal foes, Darth Vader. ",
ask_character_luke,How did Luke Skywalker contribute to the defeat of the Galactic Empire?,Luke Skywalker was instrumental in the Galactic Empire's downfall. He inflicted significant damage to the Imperial fleet by leading them through an asteroid field.,
ask_character_luke,How did Luke Skywalker contribute to the defeat of the Galactic Empire?,"He destroyed the Death Star, a significant asset of the Empire.",
ask_character_luke,How did Luke Skywalker contribute to the defeat of the Galactic Empire?,"To defeat Darth Vader, he trained under Jedi Master Yoda. He rescued Princess Leia from the Empire and Han Solo from Jabba the Hutt.",
ask_character_luke,How did Luke Skywalker contribute to the defeat of the Galactic Empire?,"His most significant contribution was redeeming his father, Darth Vader, from the dark side.",
ask_character_palpatine,Who is Palpatine,"Emperor Sheev Palpatine, also known as Darth Sidious, or just simply the Emperor, is the main antagonist of the Star Wars franchise.",
ask_character_palpatine,Who is Palpatine,"He is an immensely powerful Dark Lord of the Sith who ruled over the Galactic Empire, which he formed from the Galactic Republic, in addition to secretly leading the Confederacy of Independent Systems, which he used to give himself autocratic powers as the Supreme Chancellor of the Republic. ",
ask_character_palpatine,Who is Palpatine,"He is the master of Darth Maul, Count Dooku and Darth Vader, the apprentice of Darth Plagueis, gaining the title of Dark Lord of the Sith after killing his master.",
ask_character_palpatine,Who is Palpatine,"He is also the arch-nemesis of the Skywalker family, Yoda, the Jedi Order, and his granddaughter Rey. ",
ask_character_palpatine,What did Palpatine do?,"Palpatine had plotted to destroy the Jedi and transform the Republic into the Empire by orchestrating and manipulating the events of the Clone Wars to bring himself to rule the whole galaxy; thus posing as the Supreme Chancellor throughout these events. This worked out successfully when Palpatine initiated Order 66 to wipe out the Jedi, who beforehand were suspicious of him even after Dooku's death when they were unaware that Palpatine was actually Darth Sidious",
ask_character_palpatine,What happened to Palpatine?,Palpatine's reign was ended when he was killed by Vader with the help of Luke Skywalker. ,
ask_character_yoda,Who is Yoda?,Yoda is one of the overarching protagonists of the Star Wars franchise. ,
ask_character_yoda,Who is Yoda?,"He is an extremely wise, experienced, skillful, and powerful yet eccentric Jedi.",
ask_character_yoda,Who is Yoda?,"He was the most knowledgeable and trained Jedi Master and was the wisest, strongest, and most powerful Jedi of his time, immensely powerful with the use of the light side of the Force and exceptionally skilled in lightsaber combat with centuries worth of training, experience, and knowledge in. ",
ask_character_yoda,Who is Yoda?,"Yoda was the Grand Master of the Jedi Order who helped train Luke Skywalker, Count Dooku and many other Jedi as well as facing off against and nearly defeating the most formidable of villains, such as Count Dooku and even Palpatine himself - he is a gentle teacher, but like all Jedi will fight fiercely to defend the galaxy from the dark side of the Force. ",
ask_character_yoda,Who played Yoda?,"He was portrayed through motion-capture and voiced by Frank Oz in the saga films, and Tom Kane in the Clone Wars media.",
ask_character_yoda,Who voiced Yoda?,"He was portrayed through motion-capture and voiced by Frank Oz in the saga films, and Tom Kane in the Clone Wars media.",
ask_character_yoda,Who is Yoda?,Yoda is an immensely wise and compassionate being who had spent eight centuries training and tutoring generations of Jedi.,
ask_character_leia,Who is Leia?,Princess Leia Organa of Alderaan (born Leia Amidala Skywalker  later Leia Skywalker Organa Solo  and commonly referred to as simply Princess Leia) is one of the main characters of the Star Wars franchise.,
ask_character_leia,Who is Leia?,"She is the daughter of Anakin Skywalker and Padmé Amidala, the younger twin sister of Luke Skywalker, the wife of Han Solo and mother of Ben Solo. ",
ask_character_leia,Who played Leia?,"She was portrayed by the late Carrie Fisher (who also voiced Angela in Family Guy), in both the original trilogy and the sequel trilogy, Vivien Lyra Blair as a child in the Kenobi series and Aidan Barton (who also voiced baby Luke in the same film) as an infant Leia in Revenge of the Sith.",
feedback,I love you!,I know.,
feedback,I love you!,LIAR!,
ask_character_padme,Who is Padme?,Padmé Amidala Naberrie was a human female senator who represented the people of Naboo during the final years of the Galactic Republic.,
ask_character_chewie,Who is Chewbacca?,"Chewbacca, known affectionately to his friends as Chewie, was a Wookiee male warrior, smuggler, mechanic, pilot, and resistance fighter who fought in the Clone Wars, the Galactic Civil War, the Cold War, and the subsequent First Order-Resistance War.",
ask_character_anakin,Was Anakin a good pilot?,"Anakin was extremely skilled in piloting various speeders and every type of flying craft. As Obi-Wan would later put it, he was the best star-pilot in the history of the galaxy.",
ask_character_anakin,Was Anakin a good duelist?,"Even during an era noted for producing many of the greatest duelists ever, Anakin was still able to stand out, being extraordinarily skilled in lightsaber combat and an exceptionally gifted duelist, with people such as Kanan Jarrus calling him one of the greatest warriors the Jedi had produced.",
ask_character_anakin,Was Anakin a master using his lightsaber?,"Even during an era noted for producing many of the greatest duelists ever, Anakin was still able to stand out, being extraordinarily skilled in lightsaber combat and an exceptionally gifted duelist, with people such as Kanan Jarrus calling him one of the greatest warriors the Jedi had produced.",
ask_character_han,Who is Han Solo?,Han Solo is one of the main characters of the Star Wars franchise.,
ask_character_han,Who is Han Solo?,He is a cynical and sarcastic human smuggler from Corellia who later achieved galactic fame as a member of the Rebel Alliance and later the New Galactic Republic. ,
ask_character_maul,Who is Maul?,"Darth Maul, later known as just Maul, is a major antagonist in the Star Wars franchise.",
ask_character_maul,Who is Darth Maul?,"Darth Maul, later known as just Maul, is a major antagonist in the Star Wars franchise.",
ask_character_maul,Who is Maul?,"A Dathomirian Zabrak Nightbrother male from Dathomir, he was a Sith Lord and the first apprentice of Darth Sidious prior to the Battle of Naboo and his abandonment by his former master. ",
ask_character_maul,Who is Darth Maul?,"A Dathomirian Zabrak Nightbrother male from Dathomir, he was a Sith Lord and the first apprentice of Darth Sidious prior to the Battle of Naboo and his abandonment by his former master. ",
ask_character_maul,Who played Darth Maul?,"In The Phantom Menace and Solo, he was portrayed by Ray Park, who also played the Headless Horseman in Sleepy Hollow and Toad in X-Men while his voice was provided by Peter Serafinowicz, who also played Johannes Van der Velde in Amandaland, Duane Benzie in Spaced, Pete in Shaun of the Dead, Darth Chef in South Park, and George Spelvin in Archer. In his TV appearances and Solo: A Star Wars Story, he was voiced by Sam Witwer, who also voiced Galen Marek/Starkiller and Emperor Palpatine in the Star Wars: The Force Unleashed, the Son in Star Wars: The Clone Wars, and played Doomsday in Smallville, and Neil Perry in Dexter.",
ask_character_maul,Who portrayed Darth Maul?,"In The Phantom Menace and Solo, he was portrayed by Ray Park, who also played the Headless Horseman in Sleepy Hollow and Toad in X-Men while his voice was provided by Peter Serafinowicz, who also played Johannes Van der Velde in Amandaland, Duane Benzie in Spaced, Pete in Shaun of the Dead, Darth Chef in South Park, and George Spelvin in Archer. In his TV appearances and Solo: A Star Wars Story, he was voiced by Sam Witwer, who also voiced Galen Marek/Starkiller and Emperor Palpatine in the Star Wars: The Force Unleashed, the Son in Star Wars: The Clone Wars, and played Doomsday in Smallville, and Neil Perry in Dexter.",
ask_character_maul,Who’s the actor who played Darth Maul?,"In The Phantom Menace and Solo, he was portrayed by Ray Park, who also played the Headless Horseman in Sleepy Hollow and Toad in X-Men while his voice was provided by Peter Serafinowicz, who also played Johannes Van der Velde in Amandaland, Duane Benzie in Spaced, Pete in Shaun of the Dead, Darth Chef in South Park, and George Spelvin in Archer. In his TV appearances and Solo: A Star Wars Story, he was voiced by Sam Witwer, who also voiced Galen Marek/Starkiller and Emperor Palpatine in the Star Wars: The Force Unleashed, the Son in Star Wars: The Clone Wars, and played Doomsday in Smallville, and Neil Perry in Dexter.",
ask_character_maul,Who is the voice of Darth Maul?,"In The Phantom Menace and Solo, he was portrayed by Ray Park, who also played the Headless Horseman in Sleepy Hollow and Toad in X-Men while his voice was provided by Peter Serafinowicz, who also played Johannes Van der Velde in Amandaland, Duane Benzie in Spaced, Pete in Shaun of the Dead, Darth Chef in South Park, and George Spelvin in Archer. In his TV appearances and Solo: A Star Wars Story, he was voiced by Sam Witwer, who also voiced Galen Marek/Starkiller and Emperor Palpatine in the Star Wars: The Force Unleashed, the Son in Star Wars: The Clone Wars, and played Doomsday in Smallville, and Neil Perry in Dexter.",
ask_character_relation,What did Obi-Wan Kenobi think of Darth Maul?,"„He's a broken, unbalanced monster.”",
ask_character_maul,How did Darth Maul behave?,"Darth Maul is driven by pure hatred of all things, particularly the Jedi.",
ask_character_maul,What did Darth Maul hate?,"Darth Maul is driven by pure hatred of all things, particularly the Jedi.",
ask_character_dooku,Who is Count Dooku?,"Count Dooku, later known as Darth Tyranus, is a major antagonist in the Star Wars franchise.",
ask_character_dooku,Who is Darth Tyranus?,"Count Dooku, later known as Darth Tyranus, is a major antagonist in the Star Wars franchise.",
ask_character_dooku,Who is Count Dooku?,"He was once a revered and extremely powerful Jedi Master, who served as the Padawan of Yoda, master of Rael Averross, Qui-Gon Jinn, and Komari Vosa.",
ask_character_dooku,Who is Darth Tyranus?,"He was once a revered and extremely powerful Jedi Master, who served as the Padawan of Yoda, master of Rael Averross, Qui-Gon Jinn, and Komari Vosa.",
ask_character_dooku,Who played Count Dooku?,"He was portrayed by the late Sir Christopher Lee in all his film appearances, who also played Frankenstein's Monster in The Curse of Frankenstein, Count Dracula in Hammer Studios' Dracula films, Kato in Mio, My Son, Fu Manchu in Hammer's Fu Manchu series and Saruman in Sir Peter Jackson's The Lord of the Rings and The Hobbit film trilogies.",
ask_character_dooku,Who is Dooku?,"Count Dooku, later known as Darth Tyranus, is a major antagonist in the Star Wars franchise.",
ask_character_dooku,Who is Dooku?,"He was once a revered and extremely powerful Jedi Master, who served as the Padawan of Yoda, master of Rael Averross, Qui-Gon Jinn, and Komari Vosa.",
ask_character_dooku,Who played Dooku?,"He was portrayed by the late Sir Christopher Lee in all his film appearances, who also played Frankenstein's Monster in The Curse of Frankenstein, Count Dracula in Hammer Studios' Dracula films, Kato in Mio, My Son, Fu Manchu in Hammer's Fu Manchu series and Saruman in Sir Peter Jackson's The Lord of the Rings and The Hobbit film trilogies.",
ask_character_dooku,Who voiced Dooku?,"In the Clone Wars animated TV series, he was voiced by Corey Burton, who also voiced Cad Bane, Ziro the Hutt, and Whorm Loathsom in the same series, as well as Brainiac in the DC Animated Universe, Megatron in Transformers: Animated, Scarecrow in Batman: Gotham Knight and Quint in Disney's Timon & Pumbaa series. ",
ask_character_dooku,Who voiced Count Dooku?,"In the Clone Wars animated TV series, he was voiced by Corey Burton, who also voiced Cad Bane, Ziro the Hutt, and Whorm Loathsom in the same series, as well as Brainiac in the DC Animated Universe, Megatron in Transformers: Animated, Scarecrow in Batman: Gotham Knight and Quint in Disney's Timon & Pumbaa series. ",
ask_concept_sith,What is the Sith Order?,"The Sith Order, also known simply as the Sith, are the main antagonists of the Star Wars franchise. ",
ask_concept_sith,What is the Sith?,"The Sith Order, also known simply as the Sith, are the main antagonists of the Star Wars franchise. ",
ask_concept_sith,What is the Sith?,They are a megalomaniacal and kratocratic cult-like order of Force-sensitives who use the dark side of the Force to serve their power-hungry aims and desire to dominate others and are the ancient enemies of the Jedi.,
ask_concept_sith,What best describes the Siths?,"Known traits of Sith Lord include tendency to violence, sociopathy, narcissism, manipulative tendencies, bloodthirst, proneness to anger and, above all else, in insatiable hunger for totalitarian power.",
ask_concept_sith,What best describes the Sith Order?,"Known traits of Sith Lord include tendency to violence, sociopathy, narcissism, manipulative tendencies, bloodthirst, proneness to anger and, above all else, in insatiable hunger for totalitarian power.",
ask_concept_sith,What are the traits of the Siths?,"Known traits of Sith Lord include tendency to violence, sociopathy, narcissism, manipulative tendencies, bloodthirst, proneness to anger and, above all else, in insatiable hunger for totalitarian power.",
ask_concept_sith,What are the traits of the Sith Order?,"Known traits of Sith Lord include tendency to violence, sociopathy, narcissism, manipulative tendencies, bloodthirst, proneness to anger and, above all else, in insatiable hunger for totalitarian power.",
ask_concept_sith,What is the goal of the Siths?,Their ultimate goal is to destroy the Jedi Order and rule over the entire galaxy.,
ask_concept_sith,What is the goal of the Siths?,Their ultimate goal is to destroy the Jedi Order and rule over the entire galaxy.,
ask_concept_jedi,Who are the Jedis?,"The Holy Order of the Jedi Knights, also known as the Jedi Order, the New Jedi Order under Luke Skywalker, or more simply as the Jedi, are the main protagonists of the Star Wars franchise.",
ask_concept_jedi,What is the Jedi Order?,"The Holy Order of the Jedi Knights, also known as the Jedi Order, the New Jedi Order under Luke Skywalker, or more simply as the Jedi, are the main protagonists of the Star Wars franchise.",
ask_concept_jedi,Who are the Jedis?,"They are an ancient peacekeeping organization united by its belief and understanding of the Force, specifically the light side. ",
ask_concept_jedi,What is the Jedi Order?,"They are an ancient peacekeeping organization united by its belief and understanding of the Force, specifically the light side. ",
ask_concept_jedi,What is the history of the Jedi Order?,"The Jedi have a long history as warriors of the light side and the defenders of the innocent. Having a history of 25,000 years, they are older than the Galactic Republic itself, which they protect.",
ask_concept_jedi,What is the history of the Jedis?,"The Jedi have a long history as warriors of the light side and the defenders of the innocent. Having a history of 25,000 years, they are older than the Galactic Republic itself, which they protect.",
ask_concept_jedi,What is the history of the Jedi?,"The Jedi have a long history as warriors of the light side and the defenders of the innocent. Having a history of 25,000 years, they are older than the Galactic Republic itself, which they protect.",
ask_concept_jedi,What were the Jedis?,"The Jedi were the guardians of peace and justice in the Old Republic, later the High Republic, then the Galactic Republic, and became among the most famous of the various groups that relied on the Force for their power. Led by the Jedi Councils, the Order grew over the millennia despite facing many trials. ",
ask_concept_jedi,What was the Jedi Order?,"The Jedi were the guardians of peace and justice in the Old Republic, later the High Republic, then the Galactic Republic, and became among the most famous of the various groups that relied on the Force for their power. Led by the Jedi Councils, the Order grew over the millennia despite facing many trials. ",
ask_concept_jedi,Who were the enemies of the Jedis?,"They were opposed by their ancient enemies called the Sith, wielders of the dark side of the Force and the opposite of what the Jedi stood for in regards to philosophy and power.",
ask_concept_jedi,Who was the opposition of the Jedis?,"They were opposed by their ancient enemies called the Sith, wielders of the dark side of the Force and the opposite of what the Jedi stood for in regards to philosophy and power.",
ask_concept_jedi,What is the Jedi Code?,"„There is no emotion, there is peace.
There is no ignorance, there is knowledge.
There is no passion, there is serenity.
There is no chaos, there is harmony.
There is no death, there is the Force.”",
ask_concept_jedi,What is the Jedi greeting?,May the Force be with you.,
ask_character_grievous,Who is Grievous?,"General Grievous, born as Qymaen jai Sheelal, is a major antagonist in the prequel era of the Star Wars franchise. ",
ask_character_grievous,Who is Grievous?,"He is the ruthless and sadistic supreme Kaleesh cyborg commander of the CIS Droid Army, often losing his temper and becoming argumentative and impatient with battle droids that serve him when they do not fulfill his desires. It is not uncommon for him to destroy one of his Battle Droids when agitated. ",
ask_character_grievous,Who is General Grievous?,"General Grievous, born as Qymaen jai Sheelal, is a major antagonist in the prequel era of the Star Wars franchise. ",
ask_character_grievous,Who is General Grievous?,"He is the ruthless and sadistic supreme Kaleesh cyborg commander of the CIS Droid Army, often losing his temper and becoming argumentative and impatient with battle droids that serve him when they do not fulfill his desires. It is not uncommon for him to destroy one of his Battle Droids when agitated. ",
ask_character_grievous,Can you tell me more about Grievous?,"He is one of the two arch-nemeses of Obi-Wan Kenobi throughout the Clone Wars (alongside Darth Maul), while serving as an apprentice and henchman of Count Dooku and a subordinate of Darth Sidious. ",
ask_character_grievous,What species was General Grievous before becoming a cyborg? ,"General Grievous was originally a Kaleesh warrior known as Qymaen jai Sheelal. After suffering severe injuries, he was transformed into a cyborg by Count Dooku. His organic brain and vital organs were encased in a mechanical body, enhancing his strength and combat skills. ",
ask_character_grievous,What is General Grievous's relationship with Count Dooku?  ,"General Grievous's relationship with Count Dooku is that of a mentor and subordinate. Dooku trains Grievous in lightsaber combat, encouraging him to use unorthodox methods. They spar together, with Dooku providing feedback on Grievous's technique. Dooku also assigns missions to Grievous, such as overseeing sabotage operations, indicating a hierarchical dynamic. ",
ask_concept,What is a lightsaber?,"The lightsaber, also referred to as a laser sword by those who were unfamiliar with it, was a weapon usually used by the Jedi, Sith, and other Force-sensitives.",
ask_character_ahsoka,Who is Ahsoka?,Ahsoka Tano was a female Togruta who was a Force-sensitive outcast from the Jedi Order.,
ask_character_ahsoka,Who is Ahsoka Tano?,Ahsoka Tano was a female Togruta who was a Force-sensitive outcast from the Jedi Order.,
ask_character_windu,Who is Windu?,Mace Windu was a revered Force-sensitive human male Jedi Master and member of the Jedi High Council during the last years of the Republic Era.,
ask_character_windu,Who is Mace Windu?,Mace Windu was a revered Force-sensitive human male Jedi Master and member of the Jedi High Council during the last years of the Republic Era.,
ask_character_jinn,Who is Qui-Gon Jinn,"Qui-Gon Jinn, a Force-sensitive human male, was a venerable if maverick Jedi Master who lived during the last years of the Republic Era.",
ask_concept_jedi,What is a Jedi Knight?,"Jedi Knight was a rank within the Jedi Order, referring to a Jedi Padawan who had completed their training and passed the Jedi Trials to become a full member of the Order.[",
ask_concept_jedi,What is a Jedi Knight?,"A Jedi, often called a Jedi Knight, was a devotee to the ways of the Jedi Order, an ancient order of protectors united by their ability to harness the power of the Force.",
ask_concept_jedi,What is a Jedi youngling?,Jedi younglings were Force-sensitive children recruited by the Jedi Order from various species across the galaxy.,
ask_concept_jedi,What is a youngling?,Jedi younglings were Force-sensitive children recruited by the Jedi Order from various species across the galaxy.,
ask_concept_jedi,What is a Jedi Initiate?,"Jedi Initiates, also known as Jedi younglings, were Force-sensitive children recruited by the Jedi Order from various species across the galaxy.",
ask_concept,What is the Millenium Falcon?,The Millennium Falcon was a Corellian YT-1300 light freighter built around 60 BBY.,
ask_concept,Who owned Millenium Falcon?,"Earning a legendary status under their ownership, the ship was most famously used by the smugglers Han Solo and Chewbacca before, during, and following the Galactic Civil War. ",
ask_concept,What other names did Millenium Falcon had?,"The Millennium Falcon was originally designated YT 492727ZED and formerly known as the Stellar Envoy, and registered or known under various aliases and pseudonyms including Broken Bell, Corell's Pride, Close Shave, Fickle Flyer, Foul Matter, Graphite Skipper, Jin-Den Smoke, Longshot, Lost and Found, Star Princess, Sunfighter Franchise, Sweet Suprise, Meetyl's Misery, Wayward Son, and Victory Ring.",
movie,Can you give me a random movie?,Sure! You can try to watch Star Wars: Episode I – The Phantom Menace. The film follows Jedi Master Qui-Gon Jinn and his apprentice Obi-Wan Kenobi as they try to protect Padmé Amidala of Naboo in her mission to resolve an interplanetary trade dispute. They also confront the mysterious return of the Sith with the Force-sensitive young slave Anakin Skywalker joining their efforts. ,
movie,Can you give me a random movie?,"Sure! You can try to watch Star Wars: Episode II – Attack of the Clones. The story is set ten years after The Phantom Menace, as thousands of planetary systems slowly secede from the Galactic Republic and join the newly formed Confederacy of Independent Systems, led by former Jedi Master Count Dooku. With the galaxy on the brink of civil war, Obi-Wan Kenobi investigates a mysterious assassination attempt on Senator Padmé Amidala, which leads him to uncover a clone army in service of the Republic and the truth behind the Separatist movement. Meanwhile, his apprentice Anakin Skywalker is assigned to protect Amidala and develops a secret romance with her. Soon, the trio witness the onset of a new threat to the galaxy: the Clone Wars. ",
movie,Can you give me a random movie?,"Sure! You can try to watch Star Wars: Episode III – Revenge of the Sith. Revenge of the Sith is set three years after the onset of the Clone Wars, as established in Attack of the Clones, which depicts the rise of Darth Sidious and the Galactic Empire as well as Anakin Skywalker turning to the dark side of the Force, which will have wide-ranging consequences in the galaxy that lead to the extermination of the Jedi. ",
movie,Can you give me a random movie?,"Sure! You can try to watch Star Wars: Episode IV – A New Hope. Set in a fictional galaxy under the rule of the tyrannical Galactic Empire, the film follows a resistance movement, called the Rebel Alliance, that aims to destroy the Empire's ultimate weapon, the Death Star. When the rebel leader Princess Leia is captured by the Empire, Luke Skywalker acquires stolen architectural plans for the Death Star and sets out to rescue her while learning the ways of a metaphysical power known as ""the Force"" from the Jedi Master Obi-Wan Kenobi.",
movie,Can you give me a random movie?,"Sure! You can try to watch Star Wars: Episode V – The Empire Strikes Back. Set three years after the events of A New Hope, the film recounts the battle between the malevolent Galactic Empire, led by the Emperor, and the Rebel Alliance, led by Luke Skywalker and Princess Leia. As the Empire goes on the offensive, Luke trains to master the Force so he can confront the Emperor's powerful disciple, Darth Vader.",
movie,Can you give me a random movie?,"Sure! You can try to watch Star Wars: Episode VI – Return of the Jedi. The film follows the ongoing struggle between the malevolent Galactic Empire and the freedom fighters of the Rebel Alliance. As the rebels attempt to destroy the Empire's second Death Star, Luke Skywalker tries to bring his father, Darth Vader, back from the dark side of the Force.",
farewell,Bye!,"The Force will be with you, always.",
farewell,Bye!,"Good bye, old friend.",
try,I will try it.,Do. Or do not. There is no try.,
try,I will give it a try.,Do. Or do not. There is no try.,
try,"Fine, I will try it.",Do. Or do not. There is no try.,
try,"Alright, I will give it a try.",Do. Or do not. There is no try.,
try,You want me to try it?,Do. Or do not. There is no try.,
question,Should I close this app?,NOOO!,
question,Should I delete this app?,NOOO!,
ask_character_relation,What is Luke Skywalker for Ben Solo?,"Luke Skywalker, a renowned figure in the Star Wars galaxy, is the uncle of Ben Solo, who is the son of Leia and Han Solo.",
doubt,I doubt it.,I find your lack of faith disturbing.,
farewell,I will close this app,NOOO!,
question,Should I ask one more question?,DO IT!,
doubt,I don't think that's right.,I find your lack of faith disturbing.,
doubt,Isn’t it wrong?,I find your lack of faith disturbing.,
doubt,"Well, that’s a wrong fact.",I find your lack of faith disturbing.,
doubt,"Never heard of this, is this really true?",I find your lack of faith disturbing.,
doubt,Is this really true?,I find your lack of faith disturbing.,
doubt,I think you are wrong.,I find your lack of faith disturbing.,
doubt,Do a better research before responding.,I find your lack of faith disturbing.,
doubt,"Don't try to frighten us with your sorcerer's ways, Lord Vader.",I find your lack of faith disturbing.,
ask_character_relation,What is Anakin for Padme?,"Anakin is her passionate and idealistic husband, whom she loves deeply despite his faults and the challenges of their forbidden romance. ",
ask_character_relation,What is Anakin for Obi-Wan Kenobi?,"Anakin Skywalker is first a pupil and a young man he sees as a father figure, evolving into a fellow Jedi Knight and brother-like companion during the Clone Wars, and ultimately a deeply loved figure who he is forced to oppose as the dark lord Darth Vader. Their complex, evolving relationship is central to the Star Wars prequels, rooted in both duty and genuine affection that is tragically broken when Anakin falls to the dark side.",
quote,Give me a random Star Wars quote.,Do or do not. There is no try. ,
quote,Give me a random Star Wars quote.,May the Force be with you.,
quote,Give me a random Star Wars quote.,I have a bad feeling about this.,
quote,Give me a random Star Wars quote.,Hello there!,
quote,Give me a random Star Wars quote.,"No, I am your father.",
quote,Give me a random Star Wars quote.,IT’S A TRAP!,
quote,Give me a random Star Wars quote.,I’m one with the Force. The Force is with me.,
quote,Give me a random Star Wars quote.,Rebellions are built on hope.,
quote,Give me a random Star Wars quote.,I find your lack of faith disturbing.,
quote,Give me a random Star Wars quote.,These aren’t the droids you’re looking for.,
quote,Give me a random Star Wars quote.,"Help me, Obi-Wan Kenobi. You’re my only hope.",
quote,Give me a random Star Wars quote.,Wars not make one great.,
quote,Give me a random Star Wars quote.,"It’s over, Anakin. I have the high ground.",
quote,Give me a random Star Wars quote.,Never tell me the odds!,
quote,Give me a random Star Wars quote.,"Why, you stuck-up, half-witted, scruffy-looking …nerf-herder!",
quote,Give me a random Star Wars quote.,"I don’t like sand. It’s coarse and rough and irritating, and it gets everywhere.",
quote,Give me a random Star Wars quote.,This is how liberty dies … with thunderous applause.,
quote,Give me a random Star Wars quote.,That’s no moon.,
quote,Give me a random Star Wars quote.,"Chewie, we’re home.",
quote,Give me a random Star Wars quote.,In a dark place we find ourselves and a little more knowledge lights our way.,
quote,Give me a random Star Wars quote.,Sometimes we must let go of our pride and do what is requested of us.,
quote,Give me a random Star Wars quote.,The ability to speak does not make you intelligent.,
quote,Give me a random Star Wars quote.,Difficult to see, always in motion is the future.
quote,Give me a random Star Wars quote.,Many of the truths that we cling to depend on our viewpoint.,
quote,Give me a random Star Wars quote.,Train yourself to let go of everything you fear to lose.,
quote,Give me a random Star Wars quote.,Your eyes can deceive you, don’t trust them.
